scorer,Gia,Gia,Gia,Gia,Gia,Gia
bodyparts,Head,Head,Neck,Neck,Tail,Tail
coords,x,y,x,y,x,y
labeled-data\Bright_VT2\img06706.png,409.2166752522651,374.85655283173236,435.79041544195627,381.27090391200267,461.4478197630374,363.86052240841184
labeled-data\Bright_VT2\img08047.png,286.4276688585194,107.28647919760004,269.0172873549286,107.28647919760004,243.35988303384744,129.27854004424108
labeled-data\Bright_VT2\img09305.png,474.276521923578,132.0275476500712,467.8621708433077,118.28250962092056,435.79041544195627,103.62113572315991
labeled-data\Bright_VT2\img09336.png,499.93392624465923,163.1829671828126,499.01759037604916,141.19090633617162,470.6111784491378,122.86418896397078
labeled-data\Bright_VT2\img09397.png,532.9220175146207,218.16311929941514,529.2566740401807,199.83640192721435,512.7626284051998,176.92800521196324
labeled-data\Bright_VT2\img09450.png,514.5953001424199,290.5536529196085,525.5913305657403,272.22693554740766,529.2566740401805,237.40617254022607
labeled-data\Bright_VT2\img09531.png,471.5275143177479,314.3783855034696,497.1849186388291,318.0437289779097,518.2606436168601,296.96800399987876
labeled-data\Bright_VT2\img09622.png,434.8740795733462,367.52586588285203,455.94980455137716,367.52586588285203,478.85820126662827,343.70113329899095
labeled-data\Bright_VT2\img09718.png,361.56721008454286,389.51792672949307,378.0612557195236,395.9322778097633,411.0493469894851,384.0199115178328
labeled-data\Bright_VT2\img09775.png,360.6508742159328,370.27487348868215,372.5632405078633,385.85258325505293,400.05331656616465,387.6852549922729
labeled-data\Bright_VT2\img09902.png,366.1488894275931,384.9362473864428,377.14491985091354,392.2669343353232,402.80232417199477,386.7689191236629
labeled-data\Bright_VT2\img10393.png,,,432.1250719675161,373.94021696312234,409.2166752522651,384.9362473864428
labeled-data\Bright_VT2\img10943.png,401.8859883033847,380.35456804339265,412.88201872670516,384.0199115178328,440.3720947850064,373.02388109451226
labeled-data\Bright_VT2\img11013.png,323.0811036029211,376.68922456895245,330.4117905518014,391.3505984667131,364.316217690373,392.2669343353232
labeled-data\Bright_VT2\img11107.png,260.7702645374382,351.9481561164813,270.84995909214865,367.52586588285203,302.92171449350013,376.68922456895245
labeled-data\Bright_VT2\img11165.png,215.86980697554617,317.1273931092997,218.61881458137628,329.03975940123024,245.19255477106748,347.3664767734311
labeled-data\Bright_VT2\img11252.png,203.95744068361563,252.98388230659674,192.04507439168503,264.8962485985273,205.79011242083567,291.46998878821853
labeled-data\Bright_VT2\img11695.png,238.77820369079723,298.80067573709886,220.45148631859638,296.96800399987876,,
labeled-data\Bright_VT2\img11775.png,232.36385261052692,338.20311808733067,228.69850913608673,329.95609526984026,208.53912002666584,300.63334747431895
labeled-data\Bright_VT2\img12658.png,203.95744068361563,249.3185388321566,190.212402654465,268.56159207296747,203.95744068361563,290.5536529196085
labeled-data\Bright_VT2\img12778.png,198.45942547195534,257.56556164964695,189.29606678585492,269.4779279415775,202.12476894639553,289.63731705099843
labeled-data\Bright_VT2\img12955.png,203.95744068361563,255.73288991242686,190.212402654465,264.8962485985273,199.37576134056542,290.5536529196085
labeled-data\Bright_VT2\img13522.png,204.87377655222565,219.07945516802522,186.5470591800248,218.16311929941514,188.3797309172449,240.15518014605618
labeled-data\Bright_VT2\img13714.png,251.60690585133779,143.93991394200174,231.44751674191684,143.93991394200174,220.45148631859638,156.76861610254235
labeled-data\Bright_VT2\img13839.png,328.5791188145813,84.37808248234899,311.16873731099054,90.7924335626193,282.76232538407925,99.95579224871972
labeled-data\Bright_VT2\img13914.png,356.0691948728826,89.87609769400927,345.98950031817213,80.71273900790885,321.248431865701,84.37808248234899
labeled-data\Bright_VT2\img14140.png,368.8978970334232,92.62510529983939,357.9018666101027,85.29441835095906,333.1607981576315,88.9597618253992
labeled-data\Bright_VT2\img16514.png,521.9259870913003,241.0715160146662,524.6749946971304,219.99579103663524,521.0096512226902,189.75670737250385
labeled-data\Bright_VT2\img18693.png,209.45545589527586,280.473958364898,203.04110481500555,301.549683342929,218.61881458137628,316.2110572406897
labeled-data\Bright_VT2\img19616.png,323.0811036029211,97.2067846428896,304.75438623072023,89.87609769400927,283.67866125268927,103.62113572315991
labeled-data\Bright_VT2\img19951.png,332.2444622890215,96.29044877427953,313.91774491682065,92.62510529983939,284.5949971212993,103.62113572315991
labeled-data\Bright_VT2\img20957.png,453.20079694554704,376.68922456895245,460.5314838944274,362.0278506711918,473.36018605496804,342.7847974303809
labeled-data\Bright_VT2\img22633.png,337.74247750068173,95.3741129056695,318.49942425987086,88.9597618253992,291.92568407017967,102.70479985454983
